<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>	<OPENINT>
ГАЗПРОМ ао	D	20060224	000000	225.38	225.38	225.38	225.38	0	0
ГАЗПРОМ ао	D	20060225	000000	225.38	225.38	225.38	225.38	0	0
ГАЗПРОМ ао	D	20060226	000000	225.49	229.6	225.38	227.38	8903738	0
ГАЗПРОМ ао	D	20060227	000000	227.78	228.2	225.05	225.21	9320121	0
ГАЗПРОМ ао	D	20060228	000000	225.21	225.3	217.01	218.79	11439450	0
ГАЗПРОМ ао	D	20060301	000000	219	220.5	214.6	217.98	11094561	0
ГАЗПРОМ ао	D	20060302	000000	218.87	220.86	217.5	218.98	7795473	0
ГАЗПРОМ ао	D	20060303	000000	220	228.9	220	228.9	28820558	0
ГАЗПРОМ ао	D	20060304	000000	228.9	228.9	228.9	228.9	0	0
ГАЗПРОМ ао	D	20060305	000000	228.9	228.9	228.9	228.9	0	0
ГАЗПРОМ ао	D	20060306	000000	230.05	239.37	230.05	231.99	25733617	0
ГАЗПРОМ ао	D	20060307	000000	230.5	230.5	221.97	223.86	18790992	0
ГАЗПРОМ ао	D	20060308	000000	223.86	223.86	223.86	223.86	0	0
ГАЗПРОМ ао	D	20060309	000000	219.01	221.8	215.11	219.2	16448058	0
ГАЗПРОМ ао	D	20060310	000000	219.8	221.88	216.3	217.11	12525170	0
ГАЗПРОМ ао	D	20060311	000000	217.11	217.11	217.11	217.11	0	0
ГАЗПРОМ ао	D	20060312	000000	217.11	217.11	217.11	217.11	0	0
ГАЗПРОМ ао	D	20060313	000000	219	223.49	218.21	223.3	17030233	0
ГАЗПРОМ ао	D	20060314	000000	224.83	225.55	218.22	220.35	15283417	0
ГАЗПРОМ ао	D	20060315	000000	222	223.3	219.55	221.23	10883237	0
ГАЗПРОМ ао	D	20060316	000000	221.43	223	219.4	220.7	7945604	0
ГАЗПРОМ ао	D	20060317	000000	221.99	229.49	221.41	229.3	23128620	0
ГАЗПРОМ ао	D	20060318	000000	229.3	229.3	229.3	229.3	0	0
ГАЗПРОМ ао	D	20060319	000000	229.3	229.3	229.3	229.3	0	0
ГАЗПРОМ ао	D	20060320	000000	230	232.2	224.5	225.75	17079872	0
ГАЗПРОМ ао	D	20060321	000000	224.5	227.2	222.6	224.4	13182623	0
ГАЗПРОМ ао	D	20060322	000000	225.5	225.6	223.7	225.19	6760618	0
ГАЗПРОМ ао	D	20060323	000000	224.88	228.25	224.88	226.5	16576205	0
ГАЗПРОМ ао	D	20060324	000000	226.6	229.91	225.55	229.9	11702463	0
ГАЗПРОМ ао	D	20060325	000000	229.9	229.9	229.9	229.9	0	0
ГАЗПРОМ ао	D	20060326	000000	229.9	229.9	229.9	229.9	0	0
ГАЗПРОМ ао	D	20060327	000000	230.56	235.28	229.16	231.63	22916201	0
ГАЗПРОМ ао	D	20060328	000000	231.63	232	227.79	228.45	12231229	0
ГАЗПРОМ ао	D	20060329	000000	228	229.3	227	228.62	9397059	0
ГАЗПРОМ ао	D	20060330	000000	230	231.49	229.5	230.4	16678143	0
ГАЗПРОМ ао	D	20060331	000000	230.5	233.4	229.5	230.15	19236669	0
ГАЗПРОМ ао	D	20060401	000000	230.15	230.15	230.15	230.15	0	0
ГАЗПРОМ ао	D	20060402	000000	230.15	230.15	230.15	230.15	0	0
ГАЗПРОМ ао	D	20060403	000000	230.99	232.2	230.1	230.5	9704037	0
ГАЗПРОМ ао	D	20060404	000000	231.7	232.8	230.5	231.52	15160396	0
ГАЗПРОМ ао	D	20060405	000000	232	240.7	231.55	238.5	30501089	0
ГАЗПРОМ ао	D	20060406	000000	240	244.69	240	243.3	31903755	0
ГАЗПРОМ ао	D	20060407	000000	240.85	251	240.85	250.29	45204163	0
ГАЗПРОМ ао	D	20060408	000000	250.29	250.29	250.29	250.29	0	0
ГАЗПРОМ ао	D	20060409	000000	250.29	250.29	250.29	250.29	0	0
ГАЗПРОМ ао	D	20060410	000000	253.64	268.9	252	268.7	65493539	0
ГАЗПРОМ ао	D	20060411	000000	270.01	275.42	262.4	262.5	66831457	0
ГАЗПРОМ ао	D	20060412	000000	262	265.99	258.35	264.7	38992063	0
ГАЗПРОМ ао	D	20060413	000000	266.07	266.7	259.81	263.49	29093190	0
ГАЗПРОМ ао	D	20060414	000000	264.53	268	262.3	267.9	19565698	0
ГАЗПРОМ ао	D	20060415	000000	267.9	267.9	267.9	267.9	0	0
ГАЗПРОМ ао	D	20060416	000000	267.9	267.9	267.9	267.9	0	0
ГАЗПРОМ ао	D	20060417	000000	269	271.48	267.53	269.45	33981140	0
ГАЗПРОМ ао	D	20060418	000000	271	273.29	270.3	271.69	39555250	0
ГАЗПРОМ ао	D	20060419	000000	273.35	278.3	273.35	278.29	51509915	0
ГАЗПРОМ ао	D	20060420	000000	279.5	280.95	274.11	276.11	61824805	0
ГАЗПРОМ ао	D	20060421	000000	275	280.4	273.3	280.19	32991840	0
ГАЗПРОМ ао	D	20060422	000000	280.19	280.19	280.19	280.19	0	0
ГАЗПРОМ ао	D	20060423	000000	280.19	280.19	280.19	280.19	0	0
ГАЗПРОМ ао	D	20060424	000000	281.5	287.32	280.5	286.97	39985881	0
ГАЗПРОМ ао	D	20060425	000000	285	289.22	283.69	285	30560159	0
ГАЗПРОМ ао	D	20060426	000000	285.6	309.85	285.5	309.3	98647556	0
ГАЗПРОМ ао	D	20060427	000000	312	325.4	297	304.7	93593427	0
ГАЗПРОМ ао	D	20060428	000000	305	311.77	302	310.25	42900921	0
ГАЗПРОМ ао	D	20060429	000000	310.25	310.25	310.25	310.25	0	0
ГАЗПРОМ ао	D	20060430	000000	310.25	310.25	310.25	310.25	0	0
ГАЗПРОМ ао	D	20060501	000000	310.25	310.25	310.25	310.25	0	0
ГАЗПРОМ ао	D	20060502	000000	315	323.05	315	320.3	36980676	0
ГАЗПРОМ ао	D	20060503	000000	325.13	327.9	318.3	323.36	39795108	0
ГАЗПРОМ ао	D	20060504	000000	321.89	332.49	320.3	332.48	57170522	0
ГАЗПРОМ ао	D	20060505	000000	332	338.5	331.01	336.35	51563291	0
ГАЗПРОМ ао	D	20060506	000000	337.98	350.79	337.1	350.25	39869234	0
ГАЗПРОМ ао	D	20060507	000000	350.25	350.25	350.25	350.25	0	0
